#id	length	8Cell_Ctrl_rep1	8Cell_Ctrl_rep2	8Cell_Ctrl_rep3	8Cell_siKlf5_rep1	8Cell_siKlf5_rep2	8Cell_siKlf5_rep3
Dlgap4	5886	570	736	766	684	551	430
Dlgap5	2964	967	1145	1215	1173	951	888
Dlk1	4811	2	10	0	0	0	0
Dlk2	1566	39	29	30	40	8	20
Dll1	3428	2	8	2	10	3	0
Dll3	2163	219	323	287	387	273	266
Dll4	3451	5	16	10	14	2	6
Dlst	2767	585	803	704	824	728	594
Dlx1	2779	0	6	14	2	0	10
Dlx1as	2793	1	0	9	0	0	2
Dlx2	2473	2	1	14	3	0	0
Dlx3	2604	80	38	92	104	78	34
Dlx4	1820	0	0	0	6	1	0
Dlx5	1410	10	16	14	2	8	10
Dlx6	1071	0	4	2	0	1	0
Dlx6os1	4247	0	0	0	0	6	0
Dlx6os2	1354	0	0	0	0	0	0
Dmap1	1513	1169	1221	1126	1298	1143	1025
Dmbt1	6243	14	3	6	3	5	8
Dmbx1	4032	286	331	422	479	405	282
Dmc1	2219	187	123	201	142	111	135
Dmd	13852	363	545	418	411	394	398
Dmgdh	2979	2467	2944	2653	2748	2285	2039
Dmkn	2164	6	10	2	5	5	10
Dmp1	2760	0	0	0	2	0	0
Dmpk	2885	83	118	78	87	76	82
Dmr	777	0	0	1	0	0	2
Dmrt1	2251	24	86	79	50	48	30
Dmrt2	2337	0	0	0	6	0	0
Dmrt3	2391	0	2	3	0	4	10
Dmrta1	4073	0	0	0	0	0	0
Dmrta2	2947	10	26	42	14	18	8
Dmrtb1	1795	1849	1880	1869	2806	1969	1751
Dmrtc1a	1382	0	0	0	0	0	0
Dmrtc1b	1184	4	12	3	10	0	4
Dmrtc1c1	3222	0	0	0	0	0	0
Dmrtc1c2	3222	0	0	0	0	0	0
Dmrtc2	1619	1	0	2	0	6	1
Dmtf1	3739	4383	5830	5300	6267	5379	5396
Dmtn	4917	465	767	556	212	220	200
Dmwd	2520	531	531	526	560	355	384
Dmxl1	12211	2289	2825	2812	2968	2809	2586
Dmxl2	10614	1426	1961	1689	2224	1795	1858
Dna2	4122	472	714	871	666	538	584
Dnaaf1	2821	456	592	517	599	398	497
Dnaaf2	2639	926	970	1076	1291	1350	1292
Dnaaf3	2189	0	0	2	7	0	8
Dnaaf5	3445	1829	2162	2198	2658	1824	1929
Dnah1	12872	91	108	132	172	112	179
Dnah10	14038	249	315	225	222	215	132
Dnah11	14072	345	347	369	462	342	338
Dnah17	14889	452	600	422	595	448	537
Dnah2	13704	673	669	638	712	624	532
Dnah5	15616	29	52	44	72	16	39
Dnah6	12651	16	26	45	33	24	41
Dnah7a	12272	88	87	134	105	147	128
Dnah7b	12318	94	94	105	95	99	112
Dnah8	14583	793	868	915	980	716	746
Dnah9	13774	81	109	131	125	89	155
Dnaic1	2491	4	18	3	10	6	0
Dnaic2	2871	6	12	20	10	0	12
Dnaja1	5790	25642	31295	31611	38037	33755	32973
Dnaja2	2839	9548	11251	11089	13569	12868	12043
Dnaja3	2646	1043	1145	1158	1293	902	896
Dnaja4	3005	170	122	181	172	172	156
Dnajb1	3227	1071	1390	1100	1390	908	948
Dnajb11	3236	3020	3730	3331	2785	2529	2255
Dnajb12	1774	2323	2810	2500	2325	1865	1713
Dnajb13	1143	8	5	25	15	19	22
Dnajb14	1851	1528	1711	1622	2272	1976	2163
Dnajb2	3203	203	258	219	269	245	197
Dnajb3	1017	0	12	0	28	21	14
Dnajb4	2797	37	75	40	50	67	33
Dnajb5	2309	34	29	26	47	45	9
Dnajb6	3940	26458	31833	32370	42072	35992	32922
Dnajb7	1186	17	52	24	22	22	26
Dnajb8	989	0	0	0	0	0	0
Dnajb9	1865	7185	8200	8062	15980	14960	14364
Dnajc1	8583	1226	1465	1548	1606	1539	1281
Dnajc10	4054	537	601	664	650	549	514
Dnajc11	2944	2226	2343	2145	2498	2182	1874
Dnajc12	1365	68	81	72	50	25	19
Dnajc13	7697	4321	5443	5205	5099	4426	4436
Dnajc14	4229	1016	1023	1131	1174	1117	956
Dnajc15	648	1353	1427	1463	1871	1548	1462
Dnajc16	3913	348	422	345	471	361	368
Dnajc17	1008	191	267	246	302	326	366
Dnajc18	5167	50	26	28	53	61	42
Dnajc19	2771	518	630	548	274	482	577
Dnajc2	2037	9745	13415	10958	13740	11796	10890
Dnajc21	2053	31002	34595	33178	36351	32437	30406
Dnajc22	1462	21	41	26	32	32	12
Dnajc24	1198	310	337	356	371	363	427
Dnajc25	1827	210	198	216	330	239	188
Dnajc27	4713	208	224	193	272	176	212
Dnajc28	3535	182	147	208	173	133	152
Dnajc3	5190	1071	1365	1791	1808	1569	1357
Dnajc30	1160	88	148	107	72	58	73
Dnajc4	840	77	131	119	143	73	77
Dnajc5	4533	1284	1403	1432	1183	1102	1016
Dnajc5b	1068	1	2	6	6	0	4
Dnajc5g	1563	157	203	146	273	171	123
Dnajc6	5596	171	240	191	168	101	176
Dnajc7	2312	8687	9534	9085	12360	10707	9904
Dnajc8	1392	4568	5716	4943	5928	5255	4684
Dnajc9	1631	1137	1180	1182	1299	1082	1066
Dnal1	5758	371	441	507	494	413	466
Dnal4	1476	88	126	187	103	122	156
Dnali1	2086	36	34	49	27	14	21
Dnase1	1305	157	268	263	228	222	190
Dnase1l1	1724	42	57	112	49	47	68
Dnase1l2	1236	14	9	8	46	26	4
Dnase1l3	3699	16	7	4	34	12	24
Dnase2a	1643	188	201	127	259	204	229
Dnase2b	2299	0	0	0	0	0	0
Dnd1	1469	36	39	36	16	27	16
Dner	3632	49	63	48	60	74	58
Dnlz	2923	150	150	118	137	123	159
Dnm1	4131	88	86	79	77	41	64
Dnm1l	4270	1346	1616	1694	1695	1630	1495
Dnm2	4021	1464	1758	1764	1829	1304	1172
Dnm3	7523	60	26	60	36	57	56
Dnm3os	7928	0	6	0	0	0	1
Dnmbp	6287	177	162	260	194	172	236
Dnmt1	6304	3413	3960	4081	4954	3796	3678
Dnmt3a	9947	2652	3131	2644	2207	2332	2228
Dnmt3aos	1385	30	87	37	31	7	21
Dnmt3b	4327	1944	2227	2174	1354	1046	956
Dnmt3l	2670	262	390	390	308	301	378
Dnpep	1946	441	506	558	570	474	322
Dnph1	1106	271	303	323	252	180	119
Dntt	2130	0	2	0	0	0	0
Dnttip1	1244	622	688	742	823	645	605
Dnttip2	2403	9734	11224	10170	13812	12450	11548
Doc2a	2538	181	202	173	171	83	104
Doc2b	4245	0	23	16	6	18	26
Doc2g	1397	13	12	30	20	10	5
Dock1	6815	192	277	234	290	251	293
Dock10	7552	77	78	54	63	74	70
Dock11	6665	119	128	123	131	140	185
Dock2	6416	12	31	27	6	15	17
Dock3	9063	169	214	212	210	263	193
Dock4	8065	470	395	437	585	492	502
Dock5	10335	2747	3362	3076	2619	2115	1896
Dock6	6560	566	607	663	575	498	513
Dock7	7139	324	345	416	453	318	368
Dock8	7810	126	132	90	93	82	86
Dock9	8886	1700	2286	2218	2208	1825	1718
Dohh	1444	682	841	695	911	897	775
Dok1	1805	28	12	13	8	2	4
Dok2	1717	78	161	114	172	96	154
Dok3	1546	21	42	51	45	33	44
Dok4	2604	70	137	194	104	121	48
Dok5	1774	0	0	1	1	1	0
Dok6	996	0	0	1	0	0	2
Dok7	2483	69	52	79	116	66	142
Dolk	2126	203	226	208	396	302	273
Dolpp1	2458	278	347	304	315	241	256
Donson	2323	331	525	565	456	377	425
Dopey1	9124	1244	1528	1519	1461	1124	1043
Dopey2	7455	260	332	391	273	223	274
Dos	3294	200	193	182	212	108	164
Dot1l	5694	4366	5489	5059	5621	4732	3826
Doxl2	2288	0	0	2	2	4	0
Dpagt1	1905	166	255	240	305	260	197
Dpcd	1353	163	219	181	210	201	186
Dpcr1	2608	19	26	16	34	29	30
Dpep1	2244	11	36	21	11	5	10
Dpep2	2032	218	294	266	272	225	158
Dpep3	1681	434	480	535	417	398	287
Dpf1	2278	44	21	36	39	13	32
Dpf2	3356	3039	3427	3291	3917	3250	3421
Dpf3	3772	693	973	832	694	724	577
Dph1	2103	428	453	371	479	356	403
Dph2	2526	546	531	629	755	659	496
Dph3	3393	1198	1434	1385	1861	1319	1417
Dph5	1567	470	585	612	720	663	560
Dph6	2700	414	552	550	510	466	430
Dph7	2952	253	326	357	343	302	302
Dpm1	2293	215	291	350	258	188	265
Dpm1-adnp	5324	0	0	0	0	0	0
Dpm2	861	139	154	153	125	109	115
Dpm3	497	54	68	42	36	38	38
Dpp10	4630	4	20	14	12	18	11
Dpp3	2683	588	810	637	822	585	604
Dpp4	6301	175	179	208	188	149	146
Dpp6	6419	23	22	19	23	22	8
Dpp7	1655	411	400	412	397	365	341
Dpp8	4764	287	512	301	506	351	267
Dpp9	3509	206	380	294	303	292	228
Dppa1	2350	2	10	0	2	7	6
Dppa2	1941	19530	23238	22747	23221	22353	20987
Dppa3	818	33502	39212	38584	47173	45670	44549
Dppa4	1534	3513	4079	4020	4950	4355	4119
Dppa5a	639	2896	3596	3384	4140	3699	3406
Dpt	1636	0	6	0	0	0	0
Dpy19l1	4739	68	106	90	137	112	145
Dpy19l2	3441	24	9	56	51	6	35
Dpy19l3	7671	53	63	30	53	68	33
Dpy19l4	2984	538	662	649	602	590	580
Dpy30	1108	1196	1316	1511	1493	1519	1464
Dpyd	4437	0	0	0	0	0	0
Dpys	2884	2	13	8	21	8	2
Dpysl2	4432	23	53	22	22	12	20
Dpysl3	6079	44	59	75	132	58	87
Dpysl4	2639	30	36	38	44	63	34
Dpysl5	5021	6	20	16	11	2	23
DQ267100	71	0	0	0	0	0	6
DQ267101	72	0	0	0	0	0	0
DQ267102	71	0	0	0	0	0	0
Dqx1	3158	32	76	55	36	27	38
Dr1	3080	1306	1630	1385	1662	1417	1377
Dram1	2807	139	155	175	125	88	123
Dram2	2722	249	307	429	221	228	232
Drap1	1020	172	279	231	209	204	161
Draxin	5200	52	48	43	24	24	38
Drc1	2266	596	491	560	659	503	442
Drc7	2832	67	93	124	37	10	10
Drd1	3581	0	0	0	0	0	0
Drd2	1549	1	0	1	1	4	0
Drd3	1341	223	277	256	350	242	282
Drd4	1336	0	2	8	11	0	2
Drd5	3015	2	0	0	0	0	0
Dreh	727	0	0	0	0	0	0
Drg1	1524	5026	6330	5873	6093	5558	4608
Drg2	1713	3983	4748	4283	4655	3961	3796
Drosha	4571	5039	5807	5602	6162	4435	4196
Drp2	6983	2	4	1	0	0	0
Dsc1	5007	0	0	4	2	0	0
Dsc2	4416	8	8	18	6	14	21
Dsc3	5348	1	0	2	0	6	0
Dscam	7481	78	120	123	101	103	89
Dscaml1	6885	13	0	3	3	0	1
Dscc1	1309	496	506	492	640	527	485
Dscr3	2405	144	144	135	147	128	148
Dse	4225	56	108	104	88	97	72
Dsel	5763	100	110	160	163	118	80
Dsg1a	5627	5	8	2	8	16	26
Dsg1b	3404	1	10	2	0	0	8
Dsg1c	2980	1	2	0	0	0	0
Dsg2	5729	18	41	53	26	44	24
Dsg3	4108	0	4	0	0	0	0
Dsg4	3478	0	0	6	6	0	0
Dsn1	2283	3063	3285	2967	4615	4185	4010
Dsp	9592	285	431	650	395	452	583
Dspp	4431	0	0	0	0	1	0
Dst	30001	6065	7424	6368	8133	7192	7117
Dstn	1900	2527	2933	2687	2888	2388	2281
Dstyk	6385	407	408	436	560	417	400
Dtd1	1283	172	145	191	218	161	163
Dtd2	2564	48	37	20	16	8	15
Dthd1	2437	0	0	4	0	0	2
Dtl	4253	4663	5560	5187	6741	5179	5060
Dtna	7392	4	10	2	2	0	5
Dtnb	2645	610	705	693	711	746	627
Dtnbp1	1310	278	355	320	279	314	297
Dtwd1	1343	34	43	38	68	49	54
Dtwd2	3145	381	381	410	607	468	476
Dtx1	3715	4	3	6	10	6	6
Dtx2	2737	887	1185	1050	860	693	638
Dtx3	1944	16	2	4	14	4	6
Dtx3l	5181	48	86	174	106	98	116
Dtx4	5770	4	3	1	0	1	6
Dtymk	1310	836	1122	1051	1453	1162	854
Duox1	5267	15	38	6	11	14	2
Duox2	4554	6	9	13	22	17	28
Duoxa1	1543	0	0	0	0	0	4
Duoxa2	1592	0	6	0	2	0	4
Dupd1	1103	17	19	6	33	15	8
Dus1l	1909	1648	1914	1843	1871	1745	1475
Dus2	1910	235	250	280	336	298	240
Dus3l	2304	1324	1448	1468	1583	1465	1387
Dus4l	1768	90	93	117	87	101	50
Dusp1	1942	64	46	138	109	52	38
Dusp10	2712	1184	1549	1574	995	882	823
Dusp11	6434	598	867	704	641	702	573
Dusp12	1374	906	1131	1025	1278	1075	1043
Dusp13	1963	0	0	0	0	0	0
Dusp14	1443	759	822	842	579	583	487
Dusp15	3346	0	1	0	7	0	0
Dusp16	5112	1397	1535	1864	3304	2398	1993
Dusp18	4632	141	119	130	68	96	122
Dusp19	1463	34	43	51	38	55	27
Dusp2	1618	32	46	26	88	36	6
Dusp21	823	0	0	0	0	0	0
Dusp22	3058	133	74	50	132	139	108
Dusp23	1417	0	8	2	0	0	0
Dusp26	1747	288	275	309	319	285	170
Dusp27	4025	8	13	0	2	16	8
Dusp28	1491	50	45	37	33	36	26
Dusp3	4203	54	70	54	88	44	44
Dusp4	2427	59	94	122	122	78	84
Dusp5	1155	49	52	70	122	69	53
Dusp6	2797	86	155	255	122	51	84
Dusp7	3212	364	380	458	632	397	456
Dusp8	4819	20	27	40	18	28	18
Dusp9	2700	53	67	63	110	103	74
Dut	2512	2204	2337	2151	3017	2413	2038
Dux	2025	2	5	0	5	10	11
Duxbl1	4010	0	0	0	0	0	0
Duxbl2	7002	0	0	0	0	0	0
Duxbl3	7002	0	0	0	0	0	0
Dvl1	3443	616	733	726	803	638	521
Dvl2	2935	440	563	413	596	426	292
Dvl3	2953	1370	1715	1421	1625	1188	1296
DXBay18	5724	0	0	0	0	0	0
Dxo	1472	249	218	249	257	202	238
Dydc1	995	2	18	25	27	20	19
Dydc2	592	77	43	18	31	21	13
Dym	2471	864	926	842	983	882	714
Dynap	1227	128	98	130	265	153	213
Dync1h1	14398	4775	6239	5182	6061	4835	5309
Dync1i1	2802	0	8	2	13	0	9
Dync1i2	2787	513	787	718	732	635	750
Dync1li1	2035	1900	2165	2039	2680	2451	2281
Dync1li2	4633	1797	2034	1781	2085	1763	1633
Dync2h1	13972	561	619	511	721	521	517
Dync2li1	1327	3	4	4	9	2	2
Dynll1	2021	1775	2215	2333	3257	2643	2568
Dynll2	2819	820	961	999	1219	1132	933
Dynlrb1	1009	555	619	584	715	682	745
Dynlrb2	515	0	0	0	0	0	0
Dynlt1a	4945	4	10	4	8	16	32
Dynlt1b	770	14	33	36	41	19	54
Dynlt1c	1386	0	0	0	0	0	0
Dynlt1f	1972	9	5	10	8	9	0
Dynlt3	2153	228	288	229	272	299	319
Dyrk1a	6085	4010	4968	5007	5255	4254	4114
Dyrk1b	2635	149	154	168	219	175	195
Dyrk2	2137	24	17	44	14	30	18
Dyrk3	2072	454	520	454	440	416	333
Dyrk4	2073	22	26	20	63	23	50
Dysf	7068	829	952	931	1055	891	887
Dytn	2427	4	6	0	0	3	0
Dyx1c1	1978	48	43	34	43	15	21
Dzank1	6831	155	170	167	223	172	148
Dzip1	5887	23	20	64	33	43	23
Dzip1l	3928	1	2	9	0	0	8
Dzip3	5771	230	259	297	225	214	141
E030002O03Rik	2253	3	0	0	0	0	0
E030003E18Rik	1085	0	0	0	0	0	0
E030011O05Rik	763	2	0	1	0	0	1
E030013I19Rik	2773	0	2	3	2	0	0
E030018B13Rik	1015	30	59	54	37	2	35
E030019B13Rik	2288	0	0	2	0	0	0
E030024N20Rik	6361	265	329	325	248	194	190
E030025P04Rik	1078	0	3	0	0	0	2
E030030I06Rik	2292	216	178	267	257	225	218
E030044B06Rik	880	0	0	0	0	4	5
E130006D01Rik	931	1	0	0	1	0	0
E130008D07Rik	5078	4	6	8	4	12	0
E130012A19Rik	2330	312	252	278	389	253	264
E130018N17Rik	1309	4	4	2	6	0	4
E130102H24Rik	748	10	19	16	32	14	7
E130112N10Rik	1351	21	5	5	5	7	10
E130114P18Rik	1231	12	0	0	0	0	0
E130201H02Rik	851	0	0	4	2	5	2
E130215H24Rik	936	4	3	11	9	19	16
E130218I03Rik	1088	0	0	0	0	0	0
E130304I02Rik	696	8	1	0	3	0	4
E130307A14Rik	1664	0	6	4	28	1	8
E130308A19Rik	5481	132	136	149	200	145	157
E130309D02Rik	2343	1697	1874	1938	2495	1869	1638
E130309D14Rik	4002	590	883	826	613	645	594
E130310I04Rik	3755	0	1	0	4	0	0
E130311K13Rik	1541	45	56	97	36	45	52
E130317F20Rik	3595	310	416	544	407	292	277
E230013L22Rik	1856	303	400	457	341	273	260
E230016K23Rik	2221	0	2	4	4	2	0
E230016M11Rik	1762	2	3	3	0	0	7
E230025N22Rik	2016	4	26	11	4	5	6
E230029C05Rik	916	2	0	4	0	0	6
E2f1	3099	653	789	682	1104	764	754
E2f2	5002	182	212	245	276	283	162
E2f3	5361	92	146	97	128	70	118
E2f4	1993	2556	2786	2537	3284	2536	2125
E2f5	1749	448	527	598	693	595	459
E2f6	2496	526	821	694	739	570	637
E2f7	5476	318	492	536	451	452	434
E2f8	3691	206	148	167	229	110	137
E330009J07Rik	1951	226	287	265	330	305	226
E330011O21Rik	948	13	11	36	33	24	20
E330012B07Rik	2361	40	30	44	34	42	66
E330013P04Rik	2070	4	0	0	9	0	8
E330014E10Rik	4236	0	0	0	0	0	0
E330017A01Rik	677	2	8	34	26	12	4
E330017L17Rik	830	0	0	0	0	0	0
E330020D12Rik	2827	19	39	21	17	30	48
E330021D16Rik	1811	385	439	435	536	539	401
E330023G01Rik	1483	14	29	2	25	12	8
E330033B04Rik	6712	60	82	86	170	84	88
E330034G19Rik	1492	314	306	364	446	496	319
E430016F16Rik	3091	6	0	3	0	0	0
E430018J23Rik	2163	10	12	6	16	6	2
E430025E21Rik	4018	2107	2244	2400	2620	2262	1894
E4f1	2659	1296	1478	1366	1520	1148	1120
E530001F21Rik	1128	14	30	40	20	6	30
E530011L22Rik	3304	62	72	48	54	32	42
Eaf1	4238	1440	1581	1645	1474	972	1052
Eaf2	2170	0	2	6	2	0	8
Eapp	1043	1348	1798	1553	1792	1620	1815
Ear1	713	9	6	3	4	2	4
Ear10	471	0	0	0	0	0	0
Ear12	471	0	0	0	0	0	0
Ear14	462	0	0	0	0	0	0
Ear2	716	0	0	0	0	0	1
Ear3	471	0	0	0	0	0	0
Ear4	467	0	0	0	0	0	0
Ear6	712	0	0	0	0	0	0
Ear7	468	0	0	0	0	0	0
Ears2	6528	287	266	277	333	230	198
Ebag9	1563	97	107	131	129	156	181
Ebf1	5325	0	0	26	11	9	2
Ebf2	5532	2	8	2	6	0	0
Ebf3	5023	19	30	18	10	18	28
Ebf4	2670	44	25	15	33	24	36
Ebi3	1171	0	0	0	0	0	0
Ebna1bp2	2960	6100	6622	6899	8714	7110	7284
Ebp	1743	739	652	719	779	878	713
Ebpl	2077	130	139	164	223	154	180
Ecd	3125	1227	1171	1067	1368	1297	1166
Ece1	4816	110	129	132	43	88	116
Ece2	4113	480	651	466	519	485	504
Ecel1	2985	10	4	2	6	0	2
Ech1	1138	71	82	67	122	71	94
Echdc1	3180	49	19	50	55	42	56
Echdc2	1307	2764	3277	3570	3513	2810	2572
Echdc3	1812	30	44	26	38	50	12
Echs1	1491	85	128	126	85	100	114
Eci1	1091	306	329	442	429	369	453
Eci2	1610	144	244	229	227	263	196
Eci3	1346	2	1	1	3	0	1
Ecm1	1899	73	64	63	66	80	39
Ecm2	3596	228	185	218	270	279	256
Ecscr	1111	0	2	3	0	15	13
Ecsit	1673	821	957	841	1154	1018	967
Ect2	4117	4352	5127	4789	4244	3744	3952
Ect2l	2900	19	31	11	9	11	13
Eda	5111	1458	1479	1378	1193	1273	1124
Eda2r	5817	197	192	253	276	176	63
Edar	3680	10	20	32	16	13	33
Edaradd	8103	213	233	304	263	220	155
Edc3	3342	342	464	506	419	445	341
Edc4	4780	2389	3003	3088	3206	2939	2667
Eddm3b	1239	0	0	0	0	0	4
Edem1	5858	597	680	711	1050	860	733
Edem2	2294	279	290	334	320	290	294
Edem3	6604	1953	2560	2448	2711	2186	2498
Edf1	669	1702	2026	1847	2288	1964	1768
Edil3	5358	0	0	0	4	0	0
Edn1	2344	4	0	0	0	2	0
Edn2	1244	0	0	6	2	0	0
Edn3	2978	28	24	10	32	30	22
Ednra	3643	8	8	15	0	0	4
Ednrb	4355	2	22	0	8	6	10
Edrf1	5338	905	929	845	1080	841	858
Eea1	7836	2945	3211	3477	3845	3403	2957
Eed	2060	3217	3493	3258	4044	3610	3313
Eef1a1	1789	41178	48245	46011	55898	51535	47910
Eef1a2	2046	2	8	0	12	6	12
Eef1b2	1933	9060	10435	10282	13246	12193	10977
Eef1d	3009	6089	6561	7016	8452	7356	6738
Eef1e1	1039	1204	1533	1561	1708	1478	1532
Eef1g	1565	10723	11889	11536	14963	12727	11454
Eef2	3100	55375	62723	58335	74349	62712	57173
Eef2k	6716	302	421	371	324	271	299
Eef2kmt	2140	295	380	343	435	424	448
Eefsec	2679	80	123	168	120	41	64
Eepd1	2673	41	85	71	51	35	46
Efcab1	1128	0	0	1	0	0	0
Efcab10	675	0	2	8	0	0	3
Efcab11	2069	29	16	26	50	26	33
Efcab12	2551	84	80	93	61	36	72
Efcab14	4300	463	416	400	591	375	347
Efcab2	2538	22	31	27	55	41	35
Efcab3	1744	92	78	48	64	77	87
Efcab5	4654	89	86	73	160	107	89
Efcab6	5111	38	62	68	73	12	22
Efcab7	1819	2	21	12	6	24	20
Efcab8	1463	43	29	33	42	26	30
Efcab9	767	17	6	27	5	3	6
Efcc1	2753	119	79	39	40	62	42
Efemp1	2036	0	2	0	0	0	0
Efemp2	1842	3	26	15	24	9	25
Efhb	2661	220	323	268	334	266	336
Efhc1	2208	0	3	4	0	2	0
Efhc2	2554	84	40	42	68	76	91
Efhd1	1805	446	358	365	496	442	414
Efhd2	2381	438	419	365	359	266	226
Efna1	1642	352	498	482	534	294	279
Efna2	2131	359	432	366	499	405	301
Efna3	1225	53	50	110	104	54	31
Efna4	1596	6	18	30	14	12	10
Efna5	5259	24	49	54	64	18	47
Efnb1	3358	60	32	57	100	70	66
Efnb2	4319	1492	2080	1723	2701	2227	1891
Efnb3	3215	18	35	29	42	21	15
Efr3a	5210	618	571	593	727	728	529
Efr3b	6547	325	449	315	198	245	170
Efs	3571	2	0	7	16	2	12
Eftud1	3637	451	644	515	513	461	393
Eftud2	3333	3772	4156	4000	4925	4025	3774
Egf	4757	148	150	175	221	154	215
Egfbp2	856	0	0	0	0	0	0
Egfem1	2813	5	18	17	2	0	5
Egfl6	2700	0	1	15	0	0	0
Egfl7	1626	92	121	116	102	71	85
Egfl8	1154	106	149	107	86	69	46
Egflam	4893	23	22	27	10	20	11
Egfr	6438	4	20	19	10	36	17
Egln1	3524	2441	3097	2816	2037	1586	1556
Egln2	2107	887	972	846	683	575	481
Egln3	2676	16	50	108	44	58	20
Egr1	3072	22	32	30	34	51	28
Egr2	2965	6	0	12	10	0	2
Egr3	4006	0	0	4	12	4	10
Egr4	2100	0	0	8	0	2	0
Ehbp1	5048	391	413	436	491	504	357
Ehbp1l1	6442	31	24	46	54	25	42
Ehd1	3182	3193	3854	3095	3719	2938	2780
Ehd2	3058	890	1012	1062	1838	1452	1535
Ehd3	3658	4	12	7	12	10	14
Ehd4	3387	347	428	373	332	301	230
Ehf	4387	48	54	90	106	30	55
Ehhadh	3010	8	2	11	0	0	0
Ehmt1	5107	3900	4625	3928	4443	4178	3927
Ehmt2	4071	4547	5590	4968	5756	4854	4807
Ei24	2291	8022	9398	9200	12969	10738	9781
Eid1	2543	66	94	108	78	48	52
Eid2	1288	300	447	370	333	505	402
Eid2b	2424	88	86	86	125	124	114
Eid3	1304	10	40	40	60	20	22
Eif1	1211	6563	7719	7152	8509	7519	7434
Eif1a	2879	3217	4249	3968	4755	4787	4507
Eif1ad	2469	1761	1917	2148	2078	1706	1657
Eif1ax	926	1510	2022	1673	2018	2189	1727
Eif1b	917	407	392	593	520	468	351
Eif2a	2299	1037	1422	1207	1321	1054	1243
Eif2ak1	2571	1911	2188	2175	2705	2117	2105
Eif2ak2	4326	37	8	47	41	25	24
Eif2ak3	4496	1036	1158	1051	1169	952	995
Eif2ak4	5248	427	484	623	654	481	394
Eif2b1	1938	2894	3224	2985	3845	3117	2778
Eif2b2	1573	1059	1043	936	1137	991	995
Eif2b3	4022	3190	3988	3393	3726	3359	3110
Eif2b4	2101	1740	2249	2355	2396	1909	1717
Eif2b5	2556	7991	9322	8156	10900	9395	8397
Eif2d	2290	1841	2321	2020	2313	1812	1509
Eif2s1	3152	6527	8073	8000	9557	8681	7730
Eif2s2	2513	32623	38378	35744	41315	40724	38787
Eif2s3x	3587	9463	10304	10118	10316	9621	8951
Eif2s3y	1771	380	436	637	584	456	453
Eif3a	5176	87452	98867	99883	127370	107787	98054
Eif3b	2966	13167	15413	14517	17829	15455	13700
Eif3c	2882	46732	55175	53327	66674	56569	51817
Eif3d	1910	10540	12276	11220	14284	12706	11045
Eif3e	1541	5201	6375	5834	7434	6856	6528
Eif3f	1507	2483	3064	2821	3331	2657	2427
Eif3g	1068	10476	11626	10937	14105	12266	10362
Eif3h	1228	5399	6242	5955	6765	6176	5602
Eif3i	1109	3707	4642	4130	4633	4493	3602
Eif3j1	2413	0	0	0	0	0	0
Eif3j2	2409	0	0	0	0	0	0
Eif3k	1099	2223	2758	2367	2882	2099	2145
Eif3l	1893	8146	10318	9034	11022	8553	7784
Eif3m	1229	2925	3291	3120	3615	3160	2966
Eif4a1	1880	17231	20443	19489	25383	21920	20364
Eif4a2	3185	6835	8032	8592	9853	9378	8426
Eif4a3	1463	6315	7423	6560	6454	5682	5293
Eif4b	3854	16035	18109	17974	22378	18457	16123
Eif4e	2882	18298	20682	19323	24604	20937	18653
Eif4e1b	2113	154	229	210	270	254	271
Eif4e2	4928	4130	4771	4481	5221	4971	4452
Eif4e3	2513	168	221	257	292	208	150
Eif4ebp1	981	1134	1722	1434	1262	1038	1108
Eif4ebp2	1786	1145	1209	1217	1204	941	683
Eif4ebp3	1151	31	57	36	48	17	43
Eif4enif1	4230	2932	2938	3097	3694	3038	2707
Eif4g1	5439	52450	59755	56701	70688	58185	54482
Eif4g2	7760	39460	46574	44736	55248	45210	42988
Eif4g3	6325	2968	3419	3299	3110	3354	3105
Eif4h	2409	6644	8383	7777	8252	6923	6179
Eif5	3966	42405	51897	50177	58894	48904	48026
Eif5a	2017	17584	20192	18840	24145	20614	19043
Eif5a2	4992	96	146	183	143	153	86
Eif5b	7797	34534	39841	38794	50466	42886	40005
Eif6	1495	7408	8931	8103	10020	7957	7481
Elac1	4971	94	110	154	118	90	58
Elac2	2781	2694	3128	2916	3433	2519	2237
Elane	920	0	0	0	1	2	2
Elavl1	6030	1455	1703	1534	1542	1448	1355
Elavl2	4556	306	369	367	437	467	328
Elavl3	5027	166	225	246	270	197	194
Elavl4	4488	0	0	2	0	0	0
Eldr	1810	20	51	42	16	22	24
Elf1	4329	504	515	612	689	520	552
Elf2	6210	955	1106	1249	1242	956	1005
Elf3	2000	218	299	189	313	161	132
Elf4	5847	552	706	710	384	383	338
Elf5	2245	16	1	16	0	2	6
Elfn1	3834	28	72	50	42	16	38
Elfn2	4861	1	14	0	6	16	10
Elk1	3548	313	274	310	306	388	333
Elk3	4234	54	30	28	80	71	61
Elk4	3671	1546	1720	1679	2040	1449	1527
Ell	3085	649	782	715	571	570	468
Ell2	3649	5894	6757	6396	7694	7444	7218
Ell3	1674	875	1065	951	709	693	684
Elmo1	5877	1	9	8	0	4	2
Elmo2	4793	138	133	152	122	63	55
Elmo3	3060	40	70	93	48	34	41
Elmod1	2605	16	4	17	24	36	2
